Date,Open,High,Low,Close,Volume
3/31/2023 16:00:00,4056.18,4110.75,4056.18,4109.31,0
4/3/2023 16:00:00,4102.2,4127.66,4098.79,4124.51,0
4/4/2023 16:00:00,4128.03,4133.13,4086.87,4100.6,0
4/5/2023 16:00:00,4094.5,4099.69,4072.56,4090.38,0
4/6/2023 16:00:00,4081.15,4107.32,4069.84,4105.02,0
4/10/2023 16:00:00,4085.2,4109.5,4072.55,4109.11,0
4/11/2023 16:00:00,4110.29,4124.26,4102.61,4108.94,0
4/12/2023 16:00:00,4121.72,4134.37,4086.94,4091.95,0
4/13/2023 16:00:00,4100.04,4150.26,4099.4,4146.22,0
4/14/2023 16:00:00,4140.11,4163.19,4113.2,4137.64,0
4/17/2023 16:00:00,4137.17,4151.72,4123.18,4151.32,0
4/18/2023 16:00:00,4164.26,4169.48,4140.36,4154.87,0
4/19/2023 16:00:00,4139.33,4162.57,4134.49,4154.52,0
4/20/2023 16:00:00,4130.48,4148.57,4114.57,4129.79,0
4/21/2023 16:00:00,4132.14,4138.02,4113.86,4133.52,0
4/24/2023 16:00:00,4132.07,4142.41,4117.77,4137.04,0
4/25/2023 16:00:00,4126.43,4126.43,4071.38,4071.63,0
4/26/2023 16:00:00,4087.78,4089.67,4049.35,4055.99,0
4/27/2023 16:00:00,4075.29,4138.24,4075.29,4135.35,0
4/28/2023 16:00:00,4129.63,4170.06,4127.18,4169.48,0
5/1/2023 16:00:00,4166.79,4186.92,4164.12,4167.87,0
5/2/2023 16:00:00,4164.1,4164.1,4089.72,4119.58,0
5/3/2023 16:00:00,4122.25,4148.3,4088.86,4090.75,0
5/4/2023 16:00:00,4082.55,4082.61,4048.28,4061.22,0
5/5/2023 16:00:00,4084.73,4147.02,4084.73,4136.25,0
5/8/2023 16:00:00,4136.98,4142.3,4123.81,4138.12,0
5/9/2023 16:00:00,4124.25,4130.35,4116.65,4119.17,0
5/10/2023 16:00:00,4143.74,4154.28,4098.92,4137.64,0
5/11/2023 16:00:00,4132.24,4132.8,4109.29,4130.62,0
5/12/2023 16:00:00,4138.54,4143.74,4099.12,4124.08,0
5/15/2023 16:00:00,4126.65,4141.25,4110.27,4136.28,0
5/16/2023 16:00:00,4127.95,4135.54,4109.86,4109.9,0
5/17/2023 16:00:00,4122.85,4164.67,4113.62,4158.77,0
5/18/2023 16:00:00,4157.68,4202.2,4153.5,4198.05,0
5/19/2023 16:00:00,4204.15,4212.91,4180.2,4191.98,0
5/22/2023 16:00:00,4190.78,4209.22,4179.68,4192.63,0
5/23/2023 16:00:00,4176.8,4185.68,4142.54,4145.58,0
5/24/2023 16:00:00,4132.96,4132.96,4103.98,4115.24,0
5/25/2023 16:00:00,4155.71,4165.74,4129.73,4151.28,0
5/26/2023 16:00:00,4156.16,4212.87,4156.16,4205.45,0
5/30/2023 16:00:00,4226.71,4231.1,4192.18,4205.52,0
5/31/2023 16:00:00,4190.74,4195.44,4166.15,4179.83,0
6/1/2023 16:00:00,4183.03,4232.43,4171.64,4221.02,0
6/2/2023 16:00:00,4241.01,4290.67,4241.01,4282.37,0
6/5/2023 16:00:00,4282.99,4299.28,4266.82,4273.79,0
6/6/2023 16:00:00,4271.34,4288.33,4263.09,4283.85,0
6/7/2023 16:00:00,4285.47,4299.19,4263.96,4267.52,0
6/8/2023 16:00:00,4268.69,4298.01,4261.07,4293.93,0
6/9/2023 16:00:00,4304.88,4322.62,4291.7,4298.86,0
6/12/2023 16:00:00,4308.32,4340.13,4304.37,4338.93,0
6/13/2023 16:00:00,4352.61,4375.37,4349.31,4369.01,0
6/14/2023 16:00:00,4366.29,4391.82,4337.85,4372.59,0
6/15/2023 16:00:00,4365.33,4439.2,4362.6,4425.84,0
6/16/2023 16:00:00,4440.95,4448.47,4407.44,4409.59,0
6/20/2023 16:00:00,4396.11,4400.15,4367.19,4388.71,0
6/21/2023 16:00:00,4380.01,4386.22,4360.14,4365.69,0
6/22/2023 16:00:00,4355.4,4382.25,4351.82,4381.89,0
6/23/2023 16:00:00,4354.17,4366.55,4341.34,4348.33,0
6/26/2023 16:00:00,4344.84,4362.06,4328.08,4328.82,0
6/27/2023 16:00:00,4337.36,4384.42,4335,4378.41,0
6/28/2023 16:00:00,4367.48,4390.35,4360.22,4376.86,0
6/29/2023 16:00:00,4374.94,4398.39,4371.97,4396.44,0
6/30/2023 16:00:00,4344.84,4458.48,4328.08,4450.38,0
7/3/2023 13:00:00,4450.48,4456.46,4442.29,4455.59,0
7/5/2023 16:00:00,4442.04,4454.06,4436.61,4446.82,0
7/6/2023 16:00:00,4422.62,4422.62,4385.05,4411.59,0
7/7/2023 16:00:00,4404.54,4440.39,4397.4,4398.95,0
7/10/2023 16:00:00,4394.23,4412.6,4389.92,4409.53,0
7/11/2023 16:00:00,4415.55,4443.64,4408.46,4439.26,0
7/12/2023 16:00:00,4467.69,4488.34,4463.23,4472.16,0
7/13/2023 16:00:00,4491.5,4517.38,4489.36,4510.04,0
7/14/2023 16:00:00,4514.61,4527.76,4499.56,4505.42,0
7/17/2023 16:00:00,4508.86,4532.85,4504.9,4522.79,0
7/18/2023 16:00:00,4521.78,4562.3,4514.59,4554.98,0
7/19/2023 16:00:00,4563.87,4578.43,4557.48,4565.72,0
7/20/2023 16:00:00,4554.38,4564.74,4527.56,4534.87,0
7/21/2023 16:00:00,4550.16,4555,4535.79,4536.34,0
7/24/2023 16:00:00,4543.39,4563.41,4541.29,4554.64,0
7/25/2023 16:00:00,4555.19,4580.62,4552.42,4567.46,0
7/26/2023 16:00:00,4558.96,4582.47,4547.58,4566.75,0
7/27/2023 16:00:00,4598.26,4607.07,4528.56,4537.41,0
7/28/2023 16:00:00,4565.75,4590.16,4564.01,4582.23,0
7/31/2023 16:00:00,4584.82,4594.22,4573.14,4588.96,0
8/1/2023 16:00:00,4578.83,4584.62,4567.53,4576.73,0
8/2/2023 16:00:00,4550.93,4550.93,4505.75,4513.39,0
8/3/2023 16:00:00,4494.27,4519.49,4485.54,4501.89,0
8/4/2023 16:00:00,4513.96,4540.34,4474.55,4478.03,0
8/7/2023 16:00:00,4491.58,4519.84,4491.15,4518.44,0
8/8/2023 16:00:00,4498.03,4503.31,4464.39,4499.38,0
8/9/2023 16:00:00,4501.57,4502.44,4461.33,4467.71,0
8/10/2023 16:00:00,4487.16,4527.37,4457.92,4468.83,0
8/11/2023 16:00:00,4450.69,4476.23,4443.98,4464.05,0
8/14/2023 16:00:00,4458.13,4490.33,4453.44,4489.72,0
8/15/2023 16:00:00,4478.87,4478.87,4432.19,4437.86,0
8/16/2023 16:00:00,4433.79,4449.95,4403.55,4404.33,0
8/17/2023 16:00:00,4416.32,4421.17,4364.83,4370.36,0
8/18/2023 16:00:00,4344.88,4381.82,4335.31,4369.71,0
8/21/2023 16:00:00,4380.28,4407.55,4360.3,4399.77,0
8/22/2023 16:00:00,4415.33,4418.59,4382.77,4387.55,0
8/23/2023 16:00:00,4396.44,4443.18,4396.44,4436.01,0
8/24/2023 16:00:00,4455.16,4458.3,4375.55,4376.31,0
8/25/2023 16:00:00,4389.38,4418.46,4356.29,4405.71,0
8/28/2023 16:00:00,4426.03,4439.56,4414.98,4433.31,0
8/29/2023 16:00:00,4432.75,4500.14,4431.68,4497.63,0
8/30/2023 16:00:00,4500.34,4521.65,4493.59,4514.87,0
8/31/2023 16:00:00,4517.01,4532.26,4507.39,4507.66,0
9/1/2023 16:00:00,4530.6,4541.25,4501.35,4515.77,0
9/5/2023 16:00:00,4510.06,4514.29,4496.01,4496.83,0
9/6/2023 16:00:00,4490.35,4490.35,4442.38,4465.48,0
9/7/2023 16:00:00,4434.55,4457.81,4430.46,4451.14,0
9/8/2023 16:00:00,4451.3,4473.53,4448.38,4457.49,0
9/11/2023 16:00:00,4480.98,4490.77,4467.89,4487.46,0
9/12/2023 16:00:00,4473.27,4487.11,4456.83,4461.9,0
9/13/2023 16:00:00,4462.65,4479.39,4453.52,4467.44,0
9/14/2023 16:00:00,4487.78,4511.99,4478.69,4505.1,0
9/15/2023 16:00:00,4497.98,4497.98,4447.21,4450.32,0
9/18/2023 16:00:00,4445.13,4466.36,4442.11,4453.53,0
9/19/2023 16:00:00,4445.41,4449.85,4416.61,4443.95,0
9/20/2023 16:00:00,4452.81,4461.03,4401.38,4402.2,0
9/21/2023 16:00:00,4374.36,4375.7,4329.17,4330,0
9/22/2023 16:00:00,4341.74,4357.4,4316.49,4320.06,0
9/25/2023 16:00:00,4310.62,4338.51,4302.7,4337.44,0
9/26/2023 16:00:00,4312.88,4313.01,4265.98,4273.53,0
9/27/2023 16:00:00,4282.63,4292.07,4238.63,4274.51,0
9/28/2023 16:00:00,4269.65,4317.27,4264.38,4299.7,0
9/29/2023 16:00:00,4328.18,4333.15,4274.86,4288.05,0
10/2/2023 16:00:00,4284.52,4300.58,4260.21,4288.39,0
10/3/2023 16:00:00,4269.75,4281.15,4216.45,4229.45,0
10/4/2023 16:00:00,4233.83,4268.5,4220.48,4263.75,0
10/5/2023 16:00:00,4259.31,4267.13,4225.91,4258.19,0
10/6/2023 16:00:00,4234.79,4324.1,4219.55,4308.5,0
10/9/2023 16:00:00,4289.02,4341.73,4283.79,4335.66,0
10/10/2023 16:00:00,4339.75,4385.46,4339.64,4358.24,0
10/11/2023 16:00:00,4366.59,4378.64,4345.34,4376.95,0
10/12/2023 16:00:00,4380.94,4385.85,4325.43,4349.61,0
10/13/2023 16:00:00,4360.49,4377.1,4311.97,4327.78,0
10/16/2023 16:00:00,4342.37,4383.33,4342.37,4373.63,0
10/17/2023 16:00:00,4345.23,4393.57,4337.54,4373.2,0
10/18/2023 16:00:00,4357.35,4364.2,4303.84,4314.6,0
10/19/2023 16:00:00,4321.36,4339.54,4269.69,4278,0
10/20/2023 16:00:00,4273.85,4276.56,4223.03,4224.16,0
10/23/2023 16:00:00,4210.4,4255.84,4189.22,4217.04,0
10/24/2023 16:00:00,4235.79,4259.38,4219.43,4247.68,0
10/25/2023 16:00:00,4232.42,4232.42,4181.42,4186.77,0
10/26/2023 16:00:00,4175.99,4183.6,4127.9,4137.23,0
10/27/2023 16:00:00,4152.93,4156.7,4103.78,4117.37,0
10/30/2023 16:00:00,4139.39,4177.47,4132.94,4166.82,0
10/31/2023 16:00:00,4171.33,4195.55,4153.12,4193.8,0
11/1/2023 16:00:00,4201.27,4245.64,4197.74,4237.86,0
11/2/2023 16:00:00,4268.26,4319.72,4268.26,4317.78,0
11/3/2023 16:00:00,4334.23,4373.62,4334.23,4358.34,0
11/6/2023 16:00:00,4364.27,4372.21,4347.53,4365.98,0
11/7/2023 16:00:00,4366.21,4386.26,4355.41,4378.38,0
11/8/2023 16:00:00,4384.37,4391.2,4359.76,4382.78,0
11/9/2023 16:00:00,4391.41,4393.4,4343.94,4347.35,0
11/10/2023 16:00:00,4364.15,4418.03,4353.34,4415.24,0
11/13/2023 16:00:00,4406.66,4421.76,4393.82,4411.55,0
11/14/2023 16:00:00,4458.97,4508.67,4458.97,4495.7,0
11/15/2023 16:00:00,4505.3,4521.17,4495.31,4502.88,0
11/16/2023 16:00:00,4497.08,4511.99,4487.83,4508.24,0
11/17/2023 16:00:00,4509.55,4520.12,4499.66,4514.02,0
11/20/2023 16:00:00,4511.7,4557.11,4510.36,4547.38,0
11/21/2023 16:00:00,4538.77,4542.14,4525.51,4538.19,0
11/22/2023 16:00:00,4553.04,4568.43,4545.05,4556.62,0
11/24/2023 13:00:00,4555.84,4560.31,4552.8,4559.34,0
11/27/2023 16:00:00,4554.86,4560.52,4546.32,4550.43,0
11/28/2023 16:00:00,4545.55,4568.14,4540.51,4554.89,0
11/29/2023 16:00:00,4571.84,4587.64,4547.15,4550.58,0
11/30/2023 16:00:00,4554.87,4569.89,4537.24,4567.8,0
12/1/2023 16:00:00,4559.43,4599.39,4554.71,4594.63,0
12/4/2023 16:00:00,4564.37,4572.37,4546.72,4569.78,0
12/5/2023 16:00:00,4557.25,4578.56,4551.68,4567.18,0
12/6/2023 16:00:00,4586.23,4590.74,4546.5,4549.34,0
12/7/2023 16:00:00,4568.84,4590.92,4565.22,4585.59,0
12/8/2023 16:00:00,4576.2,4609.23,4574.06,4604.37,0
12/11/2023 16:00:00,4593.39,4623.71,4593.39,4622.44,0
12/12/2023 16:00:00,4618.3,4643.93,4608.09,4643.7,0
12/13/2023 16:00:00,4646.2,4709.69,4643.23,4707.09,0
12/14/2023 16:00:00,4721.04,4738.57,4694.34,4719.55,0
12/15/2023 16:00:00,4714.23,4725.53,4704.69,4719.19,0
12/18/2023 16:00:00,4725.58,4749.52,4725.58,4740.56,0
12/19/2023 16:00:00,4743.72,4768.69,4743.72,4768.37,0
12/20/2023 16:00:00,4764.73,4778.01,4697.82,4698.35,0
12/21/2023 16:00:00,4724.29,4748.71,4708.35,4746.75,0
12/22/2023 16:00:00,4753.92,4772.94,4736.77,4754.63,0
12/26/2023 16:00:00,4758.86,4784.72,4758.45,4774.75,0
12/27/2023 16:00:00,4773.45,4785.39,4768.9,4781.58,0
12/28/2023 16:00:00,4786.44,4793.3,4780.98,4783.35,0
12/29/2023 16:00:00,4782.88,4788.43,4751.99,4769.83,0
1/2/2024 16:00:00,4745.2,4754.33,4722.67,4742.83,0
1/3/2024 16:00:00,4725.07,4729.29,4699.71,4704.81,0
1/4/2024 16:00:00,4697.42,4726.78,4687.53,4688.68,0
1/5/2024 16:00:00,4690.57,4721.49,4682.11,4697.24,0
1/8/2024 16:00:00,4703.7,4764.54,4699.82,4763.54,0
1/9/2024 16:00:00,4741.93,4765.47,4730.35,4756.5,0
1/10/2024 16:00:00,4759.94,4790.8,4756.2,4783.45,0
1/11/2024 16:00:00,4792.13,4798.5,4739.58,4780.24,0
1/12/2024 16:00:00,4791.18,4802.4,4768.98,4783.83,0
1/16/2024 16:00:00,4772.35,4782.34,4747.12,4765.98,0
1/17/2024 16:00:00,4739.13,4744.23,4714.82,4739.21,0
1/18/2024 16:00:00,4760.1,4785.79,4740.57,4780.94,0
1/19/2024 16:00:00,4796.28,4842.07,4785.87,4839.81,0
